date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Uttar Pradesh,Lucknow,226017,139,1488
01-05-2025,West Bengal,Malda,732139,155,1233
01-05-2025,West Bengal,South 24 Parganas,743338,173,1380
01-05-2025,Maharashtra,Mumbai Suburban,400051,87,569
01-05-2025,Andhra Pradesh,Tirupati,517520,70,312
01-05-2025,Madhya Pradesh,Satna,485005,33,286
01-05-2025,Madhya Pradesh,Dhar,454665,31,354
01-05-2025,Karnataka,Bagalkot,587313,277,600
01-05-2025,Madhya Pradesh,Mandla,481661,299,1353
01-05-2025,Madhya Pradesh,Rajgarh,465669,116,530
01-05-2025,Karnataka,Ballari,583120,31,118
01-05-2025,Madhya Pradesh,Raisen,464881,147,583
01-05-2025,Maharashtra,Osmanabad,413606,96,1339
01-05-2025,West Bengal,Birbhum,731303,98,589
01-05-2025,Tamil Nadu,Tiruvallur,600077,194,1220
01-05-2025,Madhya Pradesh,Jabalpur,483225,88,694
01-05-2025,Rajasthan,Sawai Madhopur,322201,127,1118
01-05-2025,Madhya Pradesh,Panna,488001,113,729
01-05-2025,Andhra Pradesh,West Godavari,534199,64,367
01-05-2025,Madhya Pradesh,Balaghat,481337,84,277
01-05-2025,Telangana,Hyderabad,500059,179,949
01-05-2025,Madhya Pradesh,Agar Malwa,465550,26,134
01-05-2025,Madhya Pradesh,Tikamgarh,472001,304,900
01-05-2025,Madhya Pradesh,Bhopal,462037,22,151
01-05-2025,Madhya Pradesh,Ratlam,457118,130,798
01-05-2025,Haryana,Faridabad,121003,258,1779
01-05-2025,Karnataka,Haveri,581118,146,465
01-05-2025,Andhra Pradesh,East Godavari,533102,65,458
01-05-2025,Tamil Nadu,Tiruvallur,600053,168,1242
01-05-2025,Andhra Pradesh,Tirupati,517501,306,1630
01-05-2025,Gujarat,Bharuch,392001,227,1631
01-05-2025,Madhya Pradesh,Ratlam,457114,260,1210
01-05-2025,Madhya Pradesh,Chhatarpur,471525,296,901
01-05-2025,Rajasthan,Baran,325205,105,909
01-05-2025,Karnataka,Kolar,563162,49,210
01-05-2025,Karnataka,Kalaburagi,585104,228,812
01-05-2025,Karnataka,Dharwad,580024,254,931
01-05-2025,Madhya Pradesh,Balaghat,481226,144,555
01-05-2025,Chhattisgarh,Dhamtari,493663,81,1386
01-05-2025,Madhya Pradesh,Chhindwara,480107,98,322
01-05-2025,Uttar Pradesh,Etawah,206001,323,2202
01-05-2025,Maharashtra,Mumbai Suburban,400070,157,908
01-05-2025,Uttar Pradesh,Gautam Buddha Nagar,201306,285,2581
01-05-2025,Madhya Pradesh,Panna,488442,107,712
01-05-2025,Haryana,Faridabad,121004,844,4843
01-05-2025,Jammu and Kashmir,Baramula,193201,165,861
01-05-2025,Rajasthan,Jaipur,303012,68,488
01-05-2025,Rajasthan,Jaipur,302020,136,1316
01-05-2025,Karnataka,Raichur,584128,278,1009
01-05-2025,Rajasthan,Jhunjhunun,333001,87,781
01-05-2025,Madhya Pradesh,Balaghat,481051,117,526
01-05-2025,Karnataka,Chitradurga,577517,31,218
01-05-2025,Andhra Pradesh,Vizianagaram,535002,151,879
01-05-2025,Andhra Pradesh,Ananthapuramu,515701,83,318
01-05-2025,Madhya Pradesh,Dindori,481879,129,556
01-05-2025,West Bengal,Murshidabad,742136,81,1037
01-05-2025,Madhya Pradesh,Barwani,451556,162,682
01-05-2025,Andhra Pradesh,Cuddapah,516390,52,366
01-05-2025,West Bengal,Malda,732125,268,2270
01-05-2025,Rajasthan,Bundi,323001,102,1014
01-05-2025,Chandigarh,Chandigarh,160025,90,313
01-05-2025,Rajasthan,Churu,331403,168,1369
01-05-2025,Uttar Pradesh,Hapur,245101,513,3936
01-05-2025,Karnataka,Bagalkot,587103,136,307
01-05-2025,Madhya Pradesh,Balaghat,481117,66,159
01-05-2025,Andhra Pradesh,Y. S. R,516003,124,555
01-05-2025,Uttarakhand,Dehradun,248140,98,854
01-05-2025,Haryana,Mewat,122508,324,2360
01-05-2025,Andhra Pradesh,Chittoor,517247,313,1236
01-05-2025,Tamil Nadu,Kancheepuram,600069,169,1013
01-05-2025,Karnataka,Dharwad,580030,177,440
01-05-2025,Haryana,Ambala,133205,32,136
01-05-2025,Chhattisgarh,Raipur,493221,151,1088
01-05-2025,Telangana,Hyderabad,500028,170,1009
01-05-2025,Maharashtra,Raigad,410206,183,2047
01-05-2025,Maharashtra,Pune,411060,74,669
01-05-2025,Madhya Pradesh,Ashok Nagar,473330,95,464
01-05-2025,Andhra Pradesh,West Godavari,534266,27,213
01-05-2025,Karnataka,Chitradurga,577527,108,580
01-05-2025,Gujarat,Banaskantha,385001,290,1512
01-05-2025,Gujarat,Surat,395010,680,5922
01-05-2025,Madhya Pradesh,Seoni,480888,93,626
01-05-2025,Karnataka,Mandya,571403,64,368
01-05-2025,Uttar Pradesh,Bareilly,243123,209,2179
01-05-2025,Delhi,West Delhi,110015,208,1737
01-05-2025,Uttarakhand,Udham Singh Nagar,262405,116,1349
01-05-2025,Madhya Pradesh,Shahdol,484669,110,527
01-05-2025,Madhya Pradesh,Satna,485331,87,516
01-05-2025,Andhra Pradesh,Nandyal,518222,53,341
01-05-2025,Gujarat,Surat,395009,274,2247
01-05-2025,Madhya Pradesh,Sagar,470113,52,611
01-05-2025,Rajasthan,Jaipur,302017,115,1176
01-05-2025,Uttar Pradesh,Pilibhit,262122,483,4839
01-05-2025,Haryana,Palwal,121107,103,529
01-05-2025,Madhya Pradesh,Rajgarh,465689,47,157
01-05-2025,Delhi,North East Delhi,110094,2099,6969
01-05-2025,Madhya Pradesh,Indore,452010,273,2034
01-05-2025,Madhya Pradesh,Dhar,454001,279,1620
01-05-2025,Madhya Pradesh,Barwani,451449,159,743
01-05-2025,Jammu and Kashmir,Kulgam,192231,186,783
01-05-2025,Madhya Pradesh,Morena,476115,198,1142
01-05-2025,Madhya Pradesh,Indore,452016,217,1774
01-05-2025,Andhra Pradesh,Guntur,522034,78,567
01-05-2025,Madhya Pradesh,Jabalpur,483113,58,508
01-05-2025,Jammu and Kashmir,Budgam,191113,130,230
01-05-2025,Karnataka,Chitradurga,577543,36,187
01-05-2025,Karnataka,Belagavi,590016,124,597
01-05-2025,Andhra Pradesh,Tirupati,517551,10,51
01-05-2025,Gujarat,Surat,394210,737,6316
01-05-2025,Maharashtra,Amravati,444719,12,169
01-05-2025,Haryana,Panipat,132113,34,241
01-05-2025,Andhra Pradesh,Y. S. R,516390,68,337
01-05-2025,Haryana,Karnal,132041,33,232
01-05-2025,Madhya Pradesh,Shajapur,465441,100,545
01-05-2025,Madhya Pradesh,Sagar,470235,67,420
01-05-2025,Madhya Pradesh,Sheopur,476337,223,1451
01-05-2025,Andhra Pradesh,Chittoor,517401,76,306
01-05-2025,Rajasthan,Nagaur,341303,145,1136
01-05-2025,Andhra Pradesh,Parvathipuram Manyam,535501,37,193
01-05-2025,Andhra Pradesh,Krishna,521324,57,375
01-05-2025,Madhya Pradesh,Mandla,481663,102,325
01-05-2025,Jammu and Kashmir,Pulwama,192123,107,353
01-05-2025,Jammu and Kashmir,Kupwara,193224,282,1233
01-05-2025,Bihar,Sitamarhi,843302,384,4712
01-05-2025,Madhya Pradesh,Chhindwara,480551,153,715
01-05-2025,Karnataka,Bengaluru,560079,115,474
01-05-2025,Madhya Pradesh,Betul,460225,75,206
01-05-2025,Haryana,Rewari,123106,121,639
01-05-2025,Andhra Pradesh,Chittoor,517004,37,290
01-05-2025,Karnataka,Mysuru,571124,51,168
01-05-2025,Gujarat,Rajkot,360002,149,2253
01-05-2025,Punjab,Gurdaspur,143521,77,811
01-05-2025,Telangana,Siddipet,502108,24,184
01-05-2025,Karnataka,Ballari,583103,73,251
01-05-2025,Madhya Pradesh,Shahdol,484774,177,1107
01-05-2025,Andhra Pradesh,Visakhapatnam,530046,151,823
01-05-2025,Andhra Pradesh,Guntur,522124,97,661
01-05-2025,Haryana,Karnal,132157,19,91
